date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:12:00	4982/4982	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jun%202022%2008:11:59%20GMT	https://osircourier.com/robots.txt		(from )
10:12:00	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Jun%202022%2008:11:59%20GMT	https://osircourier.com/	C:/My%20Web%20Sites/osircourier/osircourier.com/index.html	(from )
10:12:01	55032/55032	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jun%202022%2008:12:00%20GMT	https://osircourier.com/app/	C:/My%20Web%20Sites/osircourier/osircourier.com/app/index.html	(from https://osircourier.com/)
10:12:02	38944/38944	---M-Z	200	added ('OK')	text/css	date:Fri,%2025%20Jun%202021%2008:39:32%20GMT	https://osircourier.com/app/style.css	C:/My%20Web%20Sites/osircourier/osircourier.com/app/style.css	(from https://osircourier.com/app/)
10:12:02	57095/57095	---M-Z	200	added ('OK')	text/css	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/css/animate.css	C:/My%20Web%20Sites/osircourier/osircourier.com/app/css/animate.css	(from https://osircourier.com/app/)
10:12:03	87059/87059	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Sep%202020%2016:54:46%20GMT	https://osircourier.com/app/img/core-img/icon.png	C:/My%20Web%20Sites/osircourier/osircourier.com/app/img/core-img/icon.png	(from https://osircourier.com/app/)
10:12:03	39673/39673	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Oct%202020%2017:26:52%20GMT	https://osircourier.com/app/css/font-awesome.css	C:/My%20Web%20Sites/osircourier/osircourier.com/app/css/font-awesome.css	(from https://osircourier.com/app/)
10:12:04	95/95	---M--	200	added ('OK')	image/png	etag:%223950a-5f-56ce71dc13b46%22	http://gtranslate.net/flags/blank.png	C:/My%20Web%20Sites/osircourier/gtranslate.net/flags/blank.png	(from https://osircourier.com/app/)
10:12:04	26031/26031	---M--	200	added ('OK')	image/png	etag:%2239513-65af-56ce71dc3d9b2%22	http://gtranslate.net/flags/16.png	C:/My%20Web%20Sites/osircourier/gtranslate.net/flags/16.png	(from https://osircourier.com/app/)
10:12:06	25994/25994	---M--	200	added ('OK')	image/png	etag:%2239512-658a-56ce71dc38e3a%22	http://gtranslate.net/flags/16a.png	C:/My%20Web%20Sites/osircourier/gtranslate.net/flags/16a.png	(from https://osircourier.com/app/)
10:12:06	77368/77368	---MC-	200	added ('OK')	text/javascript	date:Tue,%2028%20Jun%202022%2008:12:05%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit2	C:/My%20Web%20Sites/osircourier/translate.google.com/translate_a/element7876.js	(from https://osircourier.com/app/)
10:12:06	55032/55032	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jun%202022%2008:12:05%20GMT	https://osircourier.com/app/index.php	C:/My%20Web%20Sites/osircourier/osircourier.com/app/index-2.html	(from https://osircourier.com/app/)
10:12:07	37738/37738	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jun%202022%2008:12:06%20GMT	https://osircourier.com/app/services.php	C:/My%20Web%20Sites/osircourier/osircourier.com/app/services.html	(from https://osircourier.com/app/)
10:12:07	32632/32632	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jun%202022%2008:12:06%20GMT	https://osircourier.com/app/about.php	C:/My%20Web%20Sites/osircourier/osircourier.com/app/about.html	(from https://osircourier.com/app/)
10:12:07	34700/34700	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jun%202022%2008:12:07%20GMT	https://osircourier.com/app/contact.php	C:/My%20Web%20Sites/osircourier/osircourier.com/app/contact.html	(from https://osircourier.com/app/)
10:12:08	33133/33133	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jun%202022%2008:12:07%20GMT	https://osircourier.com/app/faqs.php	C:/My%20Web%20Sites/osircourier/osircourier.com/app/faqs.html	(from https://osircourier.com/app/)
10:12:09	27067/27067	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jun%202022%2008:12:08%20GMT	https://osircourier.com/app/tracking.php	C:/My%20Web%20Sites/osircourier/osircourier.com/app/tracking.html	(from https://osircourier.com/app/)
10:12:10	49276/49276	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Jun%202021%2013:58:18%20GMT	https://osircourier.com/app/img/core-img/logo.png	C:/My%20Web%20Sites/osircourier/osircourier.com/app/img/core-img/logo.png	(from https://osircourier.com/app/)
10:12:11	9893/9893	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Sep%202020%2020:42:40%20GMT	https://osircourier.com/app/img/icons/truck.png	C:/My%20Web%20Sites/osircourier/osircourier.com/app/img/icons/truck.png	(from https://osircourier.com/app/)
10:12:11	145879/145879	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Oct%202020%2010:36:54%20GMT	https://osircourier.com/app/img/Services/bg-ser.jpg	C:/My%20Web%20Sites/osircourier/osircourier.com/app/img/Services/bg-ser.jpg	(from https://osircourier.com/app/)
10:12:11	10290/10290	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Sep%202020%2020:42:52%20GMT	https://osircourier.com/app/img/icons/truck-1.png	C:/My%20Web%20Sites/osircourier/osircourier.com/app/img/icons/truck-1.png	(from https://osircourier.com/app/)
10:12:12	16042/16042	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Sep%202020%2020:42:12%20GMT	https://osircourier.com/app/img/icons/package-6.png	C:/My%20Web%20Sites/osircourier/osircourier.com/app/img/icons/package-6.png	(from https://osircourier.com/app/)
10:12:13	167403/167403	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Oct%202020%2010:47:38%20GMT	https://osircourier.com/app/img/Services/bg-ser-2.jpg	C:/My%20Web%20Sites/osircourier/osircourier.com/app/img/Services/bg-ser-2.jpg	(from https://osircourier.com/app/)
10:12:13	81226/81226	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20May%202020%2010:24:38%20GMT	https://osircourier.com/app/img/bg-img/count-bg-1.jpg	C:/My%20Web%20Sites/osircourier/osircourier.com/app/img/bg-img/count-bg-1.jpg	(from https://osircourier.com/app/)
